@relation 'Capstone Data - Relaxed_Calm'

@attribute 'File Name' {1727.csv,1728.csv,1729.csv,1730.csv,1733.csv,1734.csv,1735.csv,1739.csv,1742.csv,1749.csv,1750.csv,1751.csv,1752.csv,1755.csv,1756.csv,1757.csv,1758.csv,1759.csv,1760.csv,1763.csv,1764.csv,1765.csv,1766.csv,1768.csv,1771.csv,1772.csv,1773.csv,1775.csv,1776.csv,1777.csv,1788.csv,1789.csv,1790.csv,1791.csv,1792.csv,1793.csv,1805.csv,1807.csv,1811.csv,1812.csv,1813.csv,1817.csv,1818.csv,1819.csv,1822.csv,1824.csv,1828.csv,1829.csv,1835.csv,1859.csv,1872.csv,1873.csv,1876.csv,1893.csv,1916.csv,1918.csv,1919.csv,1922.csv,1923.csv,1931.csv,1932.csv,1933.csv,2075.csv,2076.csv,2077.csv,2078.csv,2079.csv,2080.csv,2081.csv,2082.csv,2083.csv,2104.csv,2105.csv,2106.csv,2112.csv,2113.csv,2114.csv,2116.csv,2117.csv,2118.csv,2119.csv,2127.csv,2131.csv,2138.csv,2140.csv,2147.csv,2148.csv,2149.csv,2150.csv,2151.csv,2154.csv,2155.csv,2156.csv,2157.csv,2158.csv,2159.csv,2160.csv,2161.csv,2166.csv,2167.csv,2168.csv,2169.csv,2177.csv,2178.csv,2179.csv,2180.csv,2186.csv,2191.csv,2194.csv,2195.csv,2196.csv,2198.csv,2200.csv,2201.csv,2202.csv,2203.csv,2204.csv,2207.csv,2208.csv,2209.csv,2210.csv,2211.csv,2212.csv,2213.csv,2214.csv,2215.csv,2217.csv,2218.csv,2219.csv,2220.csv,2221.csv,2222.csv,2224.csv,2225.csv,2227.csv,2228.csv,2229.csv,2230.csv,2231.csv,2232.csv,2234.csv,2237.csv,2238.csv,2239.csv,2240.csv,2241.csv,2242.csv,2243.csv,2244.csv,2247.csv,2248.csv,2282.csv,2283.csv,2284.csv,2285.csv,2288.csv,2289.csv,2292.csv,2293.csv,2294.csv,2295.csv,2296.csv,2297.csv,2298.csv,2300.csv,2302.csv,2303.csv,2304.csv,2305.csv,2307.csv,2308.csv,2310.csv,2313.csv,2314.csv,2315.csv,2318.csv,2319.csv,2320.csv,2322.csv,2325.csv,2330.csv,2334.csv,2335.csv,2336.csv,2341.csv,2342.csv,2343.csv,2345.csv,2346.csv,2348.csv,2350.csv,2357.csv,2358.csv,2359.csv,2364.csv,2365.csv,2366.csv,2368.csv,2371.csv,2372.csv,2373.csv,2374.csv,2376.csv,2377.csv,2379.csv,2381.csv,2382.csv,2383.csv,2384.csv,2388.csv,2389.csv,2390.csv,2391.csv,2392.csv,2393.csv,2397.csv,2398.csv,2403.csv,2404.csv,2405.csv,2406.csv,2410.csv,2411.csv,2415.csv,2416.csv,2417.csv,2420.csv,2422.csv,2423.csv,2424.csv,2431.csv,2432.csv,2433.csv,2436.csv,2441.csv,2442.csv,2443.csv,2444.csv,2451.csv,2462.csv,2463.csv,2466.csv,2471.csv,2472.csv,2473.csv,2476.csv,2477.csv,2478.csv,2480.csv,2481.csv,2482.csv,2483.csv,2486.csv,2487.csv,2488.csv,2490.csv,2491.csv,2492.csv,2494.csv,2497.csv,2501.csv,2502.csv,2504.csv,2505.csv,2506.csv,2507.csv,2509.csv,2510.csv,2512.csv,2514.csv,2516.csv,2521.csv,2522.csv,2523.csv,2527.csv,2528.csv,2529.csv,2530.csv,2531.csv,2532.csv,2533.csv,2537.csv,2538.csv,2540.csv,2542.csv,2550.csv,2555.csv,2556.csv,2557.csv,2560.csv,2562.csv,2564.csv,2566.csv,2567.csv,2568.csv,2570.csv,2571.csv,2572.csv,2573.csv,2575.csv,2576.csv,2581.csv,2582.csv,2586.csv,2588.csv,2590.csv,2591.csv,2593.csv,2594.csv,2595.csv,2596.csv,2603.csv,2607.csv,2608.csv,2611.csv,2614.csv,2618.csv,2619.csv,2620.csv,2621.csv,2622.csv,2626.csv,2627.csv,2628.csv,2629.csv,2632.csv,2633.csv,2659.csv,2677.csv,2678.csv}
@attribute Key {'F Major','A Major','D Major','f# minor','Bb Major','E Major','a minor','C Major','c minor','f minor','Eb Major','g minor','G Major','d minor','e minor','b minor','eb minor','Bb minor','c# minor','F# Major or Gb','Db Major','G# or Ab minor','B Major','Key unclear'}
@attribute BPM numeric
@attribute 'Primary Mood' {Yes,No}

@data
2202.csv,'a minor',116.156762,No
2203.csv,'a minor',98.266666,No
2204.csv,'a minor',62.912413,Yes
2207.csv,'e minor',70.925866,No
2208.csv,'G# or Ab minor',83.147134,No
2209.csv,'E Major',89.156645,No
2210.csv,'f minor',81.075259,No
2211.csv,'a minor',59.842513,Yes
2212.csv,'f minor',31.43708,No
2213.csv,'g minor',67.896702,No
2214.csv,'e minor',88.65809,No
2215.csv,'e minor',56.775577,Yes
2217.csv,'C Major',84.867118,No
2218.csv,'C Major',78.563286,No
2219.csv,'C Major',234.960679,Yes
2220.csv,'C Major',28.93307,Yes
2221.csv,'C Major',132.631289,No
2222.csv,'C Major',197.04613,No
2224.csv,'g minor',85.460578,No
2225.csv,'g minor',80.675686,Yes
2227.csv,'d minor',63.557485,Yes
2228.csv,'d minor',66.444854,No
2229.csv,'a minor',87.424091,No
2230.csv,'e minor',182.962648,No
2231.csv,'Bb Major',78.136977,Yes
2232.csv,'Bb Major',63.477778,No
2234.csv,'F Major',215.70644,No
2237.csv,'F# Major or Gb',76.597676,Yes
2238.csv,'B Major',78.487557,No
2239.csv,'Eb Major',73.192182,Yes
2240.csv,'c minor',88.630429,No
2241.csv,'g minor',22.219951,No
2242.csv,'g minor',98.230768,No
2243.csv,'Bb Major',74.377628,Yes
2244.csv,'g minor',236.243719,No
2247.csv,'G# or Ab minor',90.899882,No
2248.csv,'E Major',169.350768,Yes
2282.csv,'b minor',43.584921,No
2283.csv,'b minor',183.466669,No
2284.csv,'D Major',32.445606,Yes
2285.csv,'b minor',101.699787,No
2288.csv,'b minor',62.056096,No
2289.csv,'b minor',108.235245,No
2292.csv,'A Major',65.108001,Yes
2293.csv,'Eb Major',70.653143,Yes
2294.csv,'Eb Major',85.797143,No
2295.csv,'Eb Major',89.737137,No
2296.csv,'Eb Major',39.644013,Yes
2297.csv,'Eb Major',122.011141,No
2298.csv,'Eb Major',402.050782,No
2300.csv,'eb minor',31.901857,No
2302.csv,'D Major',61.846703,No
2303.csv,'D Major',93.837249,No
2304.csv,'f# minor',75.99602,No
2305.csv,'Bb minor',91.672264,No
2307.csv,'E Major',75.032348,No
2308.csv,'eb minor',87.032111,No
2310.csv,'b minor',509.856319,No
2313.csv,'a minor',108.020789,Yes
2314.csv,'A Major',148.654094,No
2315.csv,'F Major',42.135453,Yes
2318.csv,'Eb Major',142.971097,No
2319.csv,'E Major',100.736229,No
2320.csv,'Eb Major',102.623394,No
2322.csv,'f minor',147.802277,No
2325.csv,'f minor',173.604984,No
2330.csv,'D Major',148.519233,No
2334.csv,'G Major',132.165446,No
2335.csv,'g minor',85.633565,Yes
2336.csv,'G Major',138.950622,No
2341.csv,'Eb Major',78.300965,Yes
2342.csv,'G Major',143.319709,No
2343.csv,'c# minor',51.208559,No
2345.csv,'c# minor',151.344933,No
2346.csv,'c# minor',50.638215,No
2348.csv,'c# minor',136.565339,No
2350.csv,'c# minor',60.925976,No
2357.csv,'d minor',46.947784,No
2358.csv,'D Major',289.67209,No
2359.csv,'f# minor',259.01159,Yes
2364.csv,'f# minor',265.942842,No
2365.csv,'Eb Major',132.077215,Yes
2366.csv,'E Major',44.310371,Yes
2368.csv,'Eb Major',91.292682,Yes
2371.csv,'e minor',180.131552,Yes
2372.csv,'E Major',145.349209,No
2373.csv,'g minor',55.195793,No
2374.csv,'G Major',289.555265,No
2376.csv,'e minor',102.1146,No
2377.csv,'E Major',49.818368,No
2379.csv,'e minor',149.576203,No
2381.csv,'Bb Major',99.377795,No
2382.csv,'Bb Major',197.356071,No
2383.csv,'Db Major',56.756306,Yes
2384.csv,'G Major',152.165623,Yes
2388.csv,'d minor',166.043591,No
2389.csv,'Bb Major',42.242644,Yes
2390.csv,'d minor',232.276378,No
2391.csv,'d minor',165.80059,No
2392.csv,'Bb Major',43.254003,No
2393.csv,'d minor',236.492719,No
2397.csv,'a minor',117.66527,Yes
2398.csv,'F Major',42.196484,No
2403.csv,'F Major',130.343316,No
2404.csv,'E Major',53.364877,Yes
2405.csv,'f minor',215.440232,No
2406.csv,'E Major',153.042847,No
2410.csv,'Eb Major',77.456662,Yes
2411.csv,'c minor',308.400731,No
2415.csv,'Bb Major',37.112402,Yes
2416.csv,'Bb Major',200.388833,No
2417.csv,'Eb Major',145.490736,No
2420.csv,'A Major',268.008455,No
2422.csv,'f minor',103.387953,No
2423.csv,'F Major',38.326444,Yes
2424.csv,'f minor',169.926007,No
2431.csv,'F Major',74.127046,No
2432.csv,'F Major',353.215548,No
2433.csv,'Db Major',44.112103,Yes
2436.csv,'C Major',138.388252,No
2441.csv,'Bb Major',167.605482,No
2442.csv,'Key unclear',182.486912,No
2443.csv,'Db Major',66.254065,No
2444.csv,'Bb Major',98.876978,No
2451.csv,'Eb Major',45.696443,Yes
2462.csv,'A Major',72.480472,Yes
2463.csv,'a minor',129.779813,No
2466.csv,'a minor',131.236853,No
2471.csv,'G# or Ab minor',44.668788,Yes
2472.csv,'C Major',227.031724,No
2473.csv,'C Major',172.903673,No
2476.csv,'G# or Ab minor',43.580212,Yes
2477.csv,'C Major',232.530674,No
2478.csv,'C Major',181.193532,No
2480.csv,'A Major',140.977103,No
2481.csv,'A Major',139.495582,No
2482.csv,'D Major',51.021163,Yes
2483.csv,'A Major',136.597236,No
2486.csv,'C Major',36.933422,Yes
2487.csv,'Eb Major',191.591112,Yes
2488.csv,'Eb Major',58.607156,Yes
2490.csv,'C Major',31.766869,Yes
2491.csv,'Eb Major',194.347199,No
2492.csv,'Eb Major',53.880448,Yes
2494.csv,'f minor',125.166987,No
2497.csv,'f minor',106.23293,No
2501.csv,'C Major',35.127439,Yes
2502.csv,'Eb Major',126.478396,No
2504.csv,'Eb Major',138.88403,No
2505.csv,'Bb Major',96.907229,Yes
2506.csv,'Eb Major',309.242871,No
2507.csv,'Bb Major',255.858611,No
2509.csv,'a minor',115.322119,No
2510.csv,'D Major',32.786094,Yes
2512.csv,'A Major',114.313506,Yes
2514.csv,'D Major',36.196793,Yes
2516.csv,'A Major',125.043206,No
2521.csv,'A Major',63.552236,No
2522.csv,'a minor',261.874281,No
2523.csv,'A Major',61.075518,Yes
2527.csv,'c minor',184.627536,No
2528.csv,'E Major',30.221266,Yes
2529.csv,'c minor',155.240509,No
2530.csv,'c minor',92.242673,No
2531.csv,'C Major',158.992985,Yes
2532.csv,'c minor',93.474922,No
2533.csv,'C Major',148.616512,Yes
2537.csv,'G Major',149.858525,No
2538.csv,'G Major',105.027834,Yes
2540.csv,'A Major',147.104817,Yes
2542.csv,'A Major',87.903436,No
2550.csv,'F# Major or Gb',128.572144,No
2555.csv,'E Major',60.857576,No
2556.csv,'e minor',214.813204,No
2557.csv,'E Major',78.316235,Yes
2560.csv,'C Major',45.324427,Yes
2562.csv,'G Major',158.260155,No
2564.csv,'Eb Major',76.331934,Yes
2566.csv,'Bb Major',60.311106,Yes
2567.csv,'e minor',117.358516,No
2568.csv,'E Major',74.396034,Yes
2570.csv,'c minor',120.888332,No
2571.csv,'E Major',51.050767,No
2572.csv,'C Major',178.70525,No
2573.csv,'c minor',235.790598,No
2575.csv,'E Major',29.878567,Yes
2576.csv,'c minor',187.2147,No
2581.csv,'F Major',83.627638,Yes
2582.csv,'F Major',106.959323,No
2586.csv,'C Major',85.446106,Yes
2588.csv,'E Major',78.242821,Yes
2590.csv,'E Major',52.652122,No
2591.csv,'E Major',125.185329,No
2593.csv,'Eb Major',122.098066,No
2594.csv,'E Major',90.467861,No
2595.csv,'Eb Major',69.671514,Yes
2596.csv,'Eb Major',235.016854,No
2603.csv,'Eb Major',89.767516,Yes
2607.csv,'C Major',99.797338,No
2608.csv,'G Major',172.968112,No
2611.csv,'d minor',57.29116,No
2614.csv,'d minor',50.556909,No
2618.csv,'F Major',90.910695,Yes
2619.csv,'f minor',162.314183,No
2620.csv,'F Major',141.261834,No
2621.csv,'F Major',150.748866,No
2622.csv,'Bb Major',171.994184,No
2626.csv,'G Major',115.625213,No
2627.csv,'Eb Major',50.68317,Yes
2628.csv,'g minor',190.990821,No
2629.csv,'G Major',84.137652,No
2632.csv,'C Major',90.399122,Yes
2633.csv,'G Major',214.317048,No
2659.csv,'b minor',342.124826,No
2677.csv,'E Major',122.795612,No
2678.csv,'G Major',69.155675,Yes
